dataset	sample	mode	ref_label	status	elapsed_sec	error	run_dir
ZNF8	clone_9	B	self	ok	1.81	""	tmp/test_results/r/test_run_win/ZNF8/clone_9/mode_B/self
ZNF8	clone_9	B	wt	ok	2.21	""	tmp/test_results/r/test_run_win/ZNF8/clone_9/mode_B/wt
ZNF8	clone_9	C	self	ok	0.04	""	tmp/test_results/r/test_run_win/ZNF8/clone_9/mode_C/self
ZNF8	clone_9	C	wt	ok	0.03	""	tmp/test_results/r/test_run_win/ZNF8/clone_9/mode_C/wt
nano_seq	293T-G1	A	self	ok	0.41	""	tmp/test_results/r/test_run_win/nano_seq/293T-G1/mode_A/self
nano_seq	293T-G1	B	self	ok	2.47	""	tmp/test_results/r/test_run_win/nano_seq/293T-G1/mode_B/self
nano_seq	293T-G1	C	self	ok	0.05	""	tmp/test_results/r/test_run_win/nano_seq/293T-G1/mode_C/self
nano_seq	293T-G2	A	self	ok	0.56	""	tmp/test_results/r/test_run_win/nano_seq/293T-G2/mode_A/self
nano_seq	293T-G2	B	self	ok	5.59	""	tmp/test_results/r/test_run_win/nano_seq/293T-G2/mode_B/self
nano_seq	293T-G2	C	self	ok	0.04	""	tmp/test_results/r/test_run_win/nano_seq/293T-G2/mode_C/self
nano_seq	293T-G3	A	self	ok	0.51	""	tmp/test_results/r/test_run_win/nano_seq/293T-G3/mode_A/self
nano_seq	293T-G3	B	self	ok	5.53	""	tmp/test_results/r/test_run_win/nano_seq/293T-G3/mode_B/self
nano_seq	293T-G3	C	self	ok	0.03	""	tmp/test_results/r/test_run_win/nano_seq/293T-G3/mode_C/self
nano_seq	293T-G4	A	self	ok	0.55	""	tmp/test_results/r/test_run_win/nano_seq/293T-G4/mode_A/self
nano_seq	293T-G4	B	self	ok	3.14	""	tmp/test_results/r/test_run_win/nano_seq/293T-G4/mode_B/self
nano_seq	293T-G4	C	self	ok	0.05	""	tmp/test_results/r/test_run_win/nano_seq/293T-G4/mode_C/self
nano_seq	293T-G5	A	self	ok	0.31	""	tmp/test_results/r/test_run_win/nano_seq/293T-G5/mode_A/self
nano_seq	293T-G5	B	self	ok	2.28	""	tmp/test_results/r/test_run_win/nano_seq/293T-G5/mode_B/self
nano_seq	293T-G5	C	self	ok	0.04	""	tmp/test_results/r/test_run_win/nano_seq/293T-G5/mode_C/self
nano_seq	G1	A	self	ok	0.26	""	tmp/test_results/r/test_run_win/nano_seq/G1/mode_A/self
nano_seq	G1	A	wt	ok	0.34	""	tmp/test_results/r/test_run_win/nano_seq/G1/mode_A/wt
nano_seq	G1	B	self	ok	1.47	""	tmp/test_results/r/test_run_win/nano_seq/G1/mode_B/self
nano_seq	G1	B	wt	ok	1.55	""	tmp/test_results/r/test_run_win/nano_seq/G1/mode_B/wt
nano_seq	G1	C	self	ok	0.03	""	tmp/test_results/r/test_run_win/nano_seq/G1/mode_C/self
nano_seq	G1	C	wt	ok	0.03	""	tmp/test_results/r/test_run_win/nano_seq/G1/mode_C/wt
nano_seq	G2	A	self	ok	0.38	""	tmp/test_results/r/test_run_win/nano_seq/G2/mode_A/self
nano_seq	G2	A	wt	ok	0.39	""	tmp/test_results/r/test_run_win/nano_seq/G2/mode_A/wt
nano_seq	G2	B	self	ok	2.69	""	tmp/test_results/r/test_run_win/nano_seq/G2/mode_B/self
nano_seq	G2	B	wt	ok	2.66	""	tmp/test_results/r/test_run_win/nano_seq/G2/mode_B/wt
nano_seq	G2	C	self	ok	0.04	""	tmp/test_results/r/test_run_win/nano_seq/G2/mode_C/self
nano_seq	G2	C	wt	ok	0.06	""	tmp/test_results/r/test_run_win/nano_seq/G2/mode_C/wt
nano_seq	G3	A	self	ok	0.59	""	tmp/test_results/r/test_run_win/nano_seq/G3/mode_A/self
nano_seq	G3	A	wt	ok	0.6	""	tmp/test_results/r/test_run_win/nano_seq/G3/mode_A/wt
nano_seq	G3	B	self	ok	4.48	""	tmp/test_results/r/test_run_win/nano_seq/G3/mode_B/self
nano_seq	G3	B	wt	ok	4.47	""	tmp/test_results/r/test_run_win/nano_seq/G3/mode_B/wt
nano_seq	G3	C	self	ok	0.04	""	tmp/test_results/r/test_run_win/nano_seq/G3/mode_C/self
nano_seq	G3	C	wt	ok	0.06	""	tmp/test_results/r/test_run_win/nano_seq/G3/mode_C/wt
nano_seq	G4	A	self	ok	0.68	""	tmp/test_results/r/test_run_win/nano_seq/G4/mode_A/self
nano_seq	G4	A	wt	ok	0.42	""	tmp/test_results/r/test_run_win/nano_seq/G4/mode_A/wt
nano_seq	G4	B	self	ok	2.4	""	tmp/test_results/r/test_run_win/nano_seq/G4/mode_B/self
nano_seq	G4	B	wt	ok	2.59	""	tmp/test_results/r/test_run_win/nano_seq/G4/mode_B/wt
nano_seq	G4	C	self	ok	0.03	""	tmp/test_results/r/test_run_win/nano_seq/G4/mode_C/self
nano_seq	G4	C	wt	ok	0.03	""	tmp/test_results/r/test_run_win/nano_seq/G4/mode_C/wt
nano_seq	G5	A	self	ok	0.35	""	tmp/test_results/r/test_run_win/nano_seq/G5/mode_A/self
nano_seq	G5	A	wt	ok	0.34	""	tmp/test_results/r/test_run_win/nano_seq/G5/mode_A/wt
nano_seq	G5	B	self	ok	2.52	""	tmp/test_results/r/test_run_win/nano_seq/G5/mode_B/self
nano_seq	G5	B	wt	ok	2.94	""	tmp/test_results/r/test_run_win/nano_seq/G5/mode_B/wt
nano_seq	G5	C	self	ok	0.03	""	tmp/test_results/r/test_run_win/nano_seq/G5/mode_C/self
nano_seq	G5	C	wt	ok	0.05	""	tmp/test_results/r/test_run_win/nano_seq/G5/mode_C/wt
